Company Name,Model,Engine,Mileage,Special Features,Available Colors,Seater,Price,IMAGES

"FORD","ECOSPORT","1425cc",22.27,"Engine Immobolizer,Seat Belt Warning","Golden Bronze,Mars Red,Diamond White,Chill Meatallic,Smoke Grey,Panther Black",5,692000,"gl//ford" ecosport.jpeg

"FORD","MUSTANG","1654cc",23.8,"Electronic Lime Lock,Selectable Drive,","Absolute Black,Race Red,Oxford White,Yellow White,Magnetie",4,650000,"gl//ford mustang.jpeg"

FORD,ASPIRE,1302cc,25.83,20 Smart Storage Spaces,"Saprkling Gold,Ruby Red,Oxford White,Smoke grey,Ingot Silver",5,"7,92,000",gl//ford aspire.jpg

FORD,FIGO,1487cc,25.8,"LED HeadLamps,Bumpers","Saprkling Gold,Ruby Red,Oxford White,Ingot Silver,Smoke Grey",5,"4,53,000",gl//ford figo.jpg

FIAT,TIPO,1536cc,23.8,"TomTom satellite naviagtion display,Rear view camera","Ambient white,Elba Blue,Metallic Bronze,Volcano Black,Sand Pearl,Minimal grey",5,"13,00,000",gl//fiat tipo.jpg

FIAT,124 SPIDER,1625cc,26,"Sport Mode Selector,Automatic Paddle shifter","Grigio Argentio,Nero Sinema,Red Rosso,Nero Black",2,"78,12,000",gl//fiat 124.jpg

FIAT,PUNTO,1498cc,23,"Climate Control,Electriacl Adjustable Mirrors","Hip Hop Black,Nova White,Oceanic Blue,Tuscan Wine,Exotica Red,Minimal Grey",5,"6,39,000",gl// fiat punto.jpg

FIAT,QUBO,1425cc,21,"VAN Based HVP,Soft suspension","Ruby Red,Oxford White,Ingot Silver,Smoke Grey",4,"4,50,000",gl//fiat qubo.jpg

HYUNDAI,CRETA,1325cc,24.8,"Low Fuel Warning Light,Cup Holders","Red Passion,Pearl Beige,Star Dust,Polar White,Earth Brown,Sleek Silver",5,"9,20,000",gl//hy creta.jpg

HYUNDAI,i10,1254cc,20.6,"6.2 in AVN system,Black and red themed interiors","Star Dust,Polar White,Earth Brown,Sleek Silver,Pure White",5,"5,17,000",gl//hy i10.jpg

HYUNDAI,EON,15400cc,24,"Engine Immobolizer,Rear view camera","Pure White,Sleek Silver,Maharajah Red,Coral White,Ember Grey",5,"4,00,000",gl//hy eon.jpg

HYUNDAI,ELANTRA,1400cc,23.5,"Chrome Outside Door Handles,Safety Escort Lamps","Polar White,Phantom Black,Red Passion,Marina Blue",4,"6,00,000",gl//hy el.jpg

HYUNDAI,LERNA,1600cc,22.6,"Soft suspension,Selectable Drive","Grigio Argentio,Nero Sinema,Sand Pearl,Minimal grey",4,"8,00,000",gl//hy ler.jpg

HYUNDAI,SANTA FE,1582cc,25,"LED HeadLamps,Cup Holders","Wine Red,Twilight Blue,Star Dust,Sleek Silver,Pure White",5,"7,82,000",gl//hy san.jpg

HONDA,AMAZE,1487cc,25,"Electriacl Adjustable Mirrors,Rear view camera","Bluish Titanium,Golden Brown,Carnellan Red Pearl,Alabaster Silver,Urban Titanium",4,"6,90,000",gl//hn amz.jpg

HONDA,ACCORD,1933cc,24,he hybrid powertrain is mated to a CVTÿ,"Crystal Black Pearl, Lunar Silver , Modern Steel , White Orchid Pearl.",5,"37,00,000",gl//hn acc.jpg

HONDA,BRIO,1198cc,19,The headlights have a pearl drop effect,"ÿAlabaster Silver, Rally Red, Teffeta White, Urban Titanium, White Orchid Pearl.",5,"5,00,000",gl//hn brio.jpg

HONDA,JAZZ,1498cc,26,"The front and rear bumpers,Front grille with bolder looking design.","Alabaster Silver, Carnelian Red Pearl, Golden Brown, Sunset Orange, Urban Titanium.",4,"6,45,000",gl//hn jazz.jpg

HONDA,BR-V,1498cc,25,"Automatic climate control,Projector headlamps","Carnelian Red Pearl, Golden Brown, Orchid White Pearl, Taffeta White, Urban Titanium.",7,"13,23,000",gl//hn br.jpg

TOYOTA,NEW FORTUNER,1845cc,26,"Automatic climate control system, Stand alone infotainment system","Carnelian Red Pearl, Golden Brown",7,"35,25,000",gl//to nw.jpg

TOYOTA,CAMRY,2498cc,19,"A touchscreen stereo system,LED high mounted stop light","Dark Brown Mica,Silver Metallic, True Blue Mica, White Pearl Crystal Shine.",5,"35,00,000",gl//to cam.jpg

TOYOTA,ETIOS CROSS,1496cc,24,"ÿSporty side skirts,Bold grille","Celestial Black, Classic Grey, Harmony Beige, Inferno Orange, Symphony Silver",5,"7,10,000",gl//to eri.jpg

TOYOTA,LAND CRUISER,4461cc,14,"18 inch Alloy wheels,Best safety features","Attitude Black, Beige Mica, Beige Mica Metallic, Black, Blue MIca",7,13400000,gl//to land.jpg

NISSAN,TERRANO,1598cc,20,"Silver-finished skid plates,K9K diesel engine","Blade Silver, Bronze Grey, Fire Red, Pearl White, Sandstone Brown, Sapphire Black",5,"9,90,000",gl//ni tr.jpg

NISSAN,MICRA,1461cc,24,"Brake assist (BD),Immobilizer with alarmÿ","ÿAqua Green, Blade Silver, Brick Red, Olive Green, Onyx Black, Storm White, Turquoise Blue.",5,"6,00,000",gl//ni mi.jpg

